序号,客户名称,项目名称,展出时间,规模,投资形式,售票,制作公司,级别,展出场地,日常门票,交通情况,日常客流,场地性质及上下级关系,接待能力,项目情况,灯会期间门票,灯会期间客流,收益情况,运营方案,网络报道
1,福州市西湖公园管理处,福州西湖公园2018年迎春氛围布置,~,50.000,定做,否,"",Z级,西湖公园,,"",,"",,"",,,,"","福州西湖公园2018年迎春氛围布置招标公告 http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201712/t20171221_9376155.htm"
2,鄂托克前旗住房与城乡建设局,2018年春节亮化,~,319.000,定做,否,"",Z级,街道,免费,"",,"政府",,"鄂托克前旗住房和城乡规划建设局采购鄂托克前旗敖勒召其镇和城川镇镇区2018年春节亮化设计施工总承包公开招标公告-比比招标采购网  https://www.bibenet.com/bid/detail/4572997",免费,,,"","https://www.bibenet.com/bid/detail/4572997"
3,鼓楼区水部街道,2018年春节及元宵街景,~,0.000,定做,否,"",Z级,街道,否,"",,"",,"对重点路段进行2018年春节、元宵节街景布置。街景重点布展道路：一、布置路段：（1）五一中路新百合休闲会所至五福天桥250米，兴业银行至五福天桥240米；（2）科技馆150米共19棵树；（3）五一、古田路口至五一、福新路口330米；（4）古田支路(双侧)1700米；（5）古田路（琼东河天桥-工地）200米； （6）龙庭路六建门口60米；（7）街道内河石栏杆100米；（8）三座天桥插红旗；（7）龙庭路450米。现进行公开招标，总控制价在17万元以内",,,,"","关于鼓楼区水部街道2018年春节及元宵街景招标的公告 http://www.gl.gov.cn/archive/2017/12/26/804819.html"
4,鼓楼区五凤街道,2018年春节及元宵节街景布置,~,0.000,定做,否,"",Z级,街道,,"",,"",,"预算：16万。
布置路段
    1、铜盘路（梅园酒店―二环路口）单侧约850米；
    2、铜盘路（电大旁的寺庙―二环路口）单侧约640米；
    3、芳沁路省博物馆正门口至芳沁园双侧约900米；
    4、天泉路双侧约2000米；
    5、泉塘天桥插立红旗200面；
    6、铜盘路与二环路交叉路口插红旗300面；
    三、布置内容
    1、布置标准：
    (1)各路段道路双侧树木拉线挂灯，10米为1组，每组3盏绸布工艺宫灯（要求带红艳节庆色彩、不要淡黄色）、两盏红灯笼、3条满星灯，共计约439组，最终以实际使用数量为准；
    (2)铜盘路和二环路大路口的每棵树一组灯饰，树干缠绕约15m的led灯带(彩色/暖光/蓝色/白色)，树上挂5盏绸布工艺宫灯，15条流星灯，3条满天星灯，15盏led水果灯。共计约10组。最终以实际使用数量为准；
    (3)芳沁路省博物馆正门口至芳沁园双侧树木拉线挂灯，10米为1组，每组5盏红灯笼，3条满星灯，共计约90组，最终以实际使用数量为准；
    (4)泉塘天桥红旗按照每米3面布置，最终以实际使用数量为准；
    (5)铜盘路与二环路交叉路口按照每米1面布置，最终以实际使用数量为准；",,,,"",""
5,龙文区风景园林管理处,2018年春节、元宵花灯,~,120.000,定做,否,"",Z级,,,"",,"",,"",,,,"","2018年春节、元宵花灯设计制作、安装及招标代理单位招标公告http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201712/t20171205_9283823.htm"
6,龙岩志高神州欢乐园（志高动漫科技有限公司）,春节灯会,~,0.000,门票分成,是,"",Z级,,,"",,"",,"",,,,"",""
7,（长汀县）福建省古韵汀州旅游发展有限公司,春节灯会,~,0.000,定做,否,"",Z级,,,"",,"",,"由子公司演艺公司具体承办执行，春节计划在以广场做灯会，广场五六百平，想让我司做方案报价。介绍规模太小，拒绝。之前叶总表示在两个足球场大的广场做灯会，介绍200万左右能出效果。",,,,"",""
8,新干县市政园林管理所,春节装饰布置及灯笼悬挂安装,~,0.000,定做,否,"",Z级,,,"",,"",,"春节装饰布置及灯笼悬挂安装项目。资金来源：政府财政资金。A春节装饰布置：预算45.8333万；B灯笼悬挂安装：预算15.318万。",,,,"","新干县 - 吉安市公共交易资源网 http://www.japrtc.gov.cn/jyxx/zfcg/zbgg/xgx/201712/t20171227_2505829.htm"
9,合肥城隍庙/合肥城隍庙建设投资有限责任公司,合肥城隍庙2018新春灯展,~,0.000,定做,否,"",Z级,城隍庙街区,,"",,"",,"2018年首届新春灯展，预算98万，招标，南京秦淮彩灯参与项目",,,,"",""
10,芜湖方特旅游度假区/芜湖华强文化科技有限公司,芜湖方特春节灯会,~,0.000,定做,是,"本公司",Z级,,,"",,"",,"春节灯会我司制作，规模300万左右",,,,"",""
11,运城市河津文物旅游局,春节灯会,~,0.000,,否,"本公司",Z级,,,"",,"",,"",,,,"",""
12,罗源海洋世界馆（罗源湾滨海旅游文化开发有限公司）,2018年罗源湾迎春灯会(2017福州国际灯光节),2017-12-24~2018-04-03,0.000,,否,"",Z级,,,"",,"",,"此次的国际灯光嘉年华由福州罗源湾海洋世界联合携程旅行网斥巨资邀请比利时灯光设计团以及四川自贡民间灯光技艺大师共同打造！
整个灯展分梦幻之光、童话世界两个主题板块，总占地面积约20000平方米，两大板块内含16组灯组
自贡众鑫彩灯制作",预售票19元/张，正常成人票29元/张,,,"",""
13,东莞市石龙镇文化广播电视服务中心,test,~,0.000,定做,是,"本公司",Z级,,,"",,"",,"",,,,"",""
14,东莞市石龙镇文化广播电视服务中心,test02,~,0.000,,否,"本公司",Z级,,,"",,"",,"",,,,"",""
15,test111,test11-01,~,0.000,,否,"本公司",Z级,,,"",,"",,"",,,,"",""
